repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined,others
Semantic-UI.csv,client,event,0.0,0.0,0.0,0.0,2,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Semantic-UI.csv,client,try-catch,0.0,0.0,1.0,0.0,71,28.0,71.0,53,9.0,17.0,0.0,5.0,0.0,9.0,0.0,0.0,43,0.0,0.0,0.0,0.0,16
UglifyJS2.csv,server,callback,0.0,0.0,0.0,0.0,98,0.0,98.0,467,5.0,1.0,0.0,37.0,0.0,0.0,1.0,0.0,304,0.0,0.0,0.0,0.0,97
UglifyJS2.csv,server,event,0.0,0.0,0.0,0.0,2,0.0,1.0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,2
UglifyJS2.csv,server,try-catch,0.0,0.0,45.0,0.0,129,7.0,129.0,286,50.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,146,1.0,8.0,0.0,0.0,93
ajenti.csv,client,callback,0.0,10.0,0.0,2.0,370,0.0,370.0,6124,25.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,666,0.0,0.0,0.0,0.0,365
ajenti.csv,client,event,0.0,0.0,0.0,0.0,1,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
ajenti.csv,client,try-catch,0.0,0.0,0.0,0.0,160,85.0,160.0,150,57.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,88,0.0,0.0,0.0,0.0,68
angular-starter.csv,client,callback,0.0,0.0,1.0,0.0,1,0.0,1.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
angular-starter.csv,client,try-catch,0.0,0.0,0.0,0.0,1,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
angular-translate.csv,client,callback,0.0,1.0,0.0,1.0,27,0.0,27.0,1248,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,113,1.0,1.0,0.0,0.0,27
angular-translate.csv,client,promise,0.0,0.0,1.0,0.0,2,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
angular-translate.csv,client,try-catch,0.0,0.0,0.0,0.0,21,16.0,21.0,9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.0,0.0,0.0,0.0,5
apidoc.csv,server,callback,0.0,0.0,0.0,0.0,28,0.0,28.0,376,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0,28
apidoc.csv,server,event,0.0,0.0,0.0,0.0,1,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1
apidoc.csv,server,try-catch,0.0,0.0,8.0,0.0,33,11.0,33.0,30,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,3.0,0.0,0.0,0.0,11
atom.csv,server,callback,0.0,2.0,0.0,2.0,154,0.0,154.0,1299,7.0,8.0,0.0,7.0,0.0,4.0,0.0,0.0,390,7.0,0.0,0.0,0.0,152
atom.csv,server,event,0.0,0.0,2.0,0.0,10,0.0,6.0,20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,9
atom.csv,server,promise,0.0,0.0,1.0,0.0,14,0.0,11.0,36,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,22,0.0,0.0,0.0,0.0,9
atom.csv,server,try-catch,0.0,0.0,4.0,0.0,141,34.0,141.0,223,19.0,18.0,0.0,11.0,0.0,3.0,9.0,1.0,154,0.0,0.0,0.0,0.0,90
ava.csv,server,callback,0.0,1.0,0.0,0.0,100,0.0,100.0,524,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,325,1.0,0.0,0.0,0.0,100
ava.csv,server,event,0.0,0.0,0.0,0.0,4,0.0,4.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,4
ava.csv,server,promise,0.0,0.0,0.0,0.0,8,0.0,8.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,8
ava.csv,server,try-catch,0.0,0.0,0.0,0.0,55,2.0,55.0,186,2.0,1.0,0.0,14.0,0.0,0.0,4.0,0.0,93,0.0,0.0,0.0,0.0,51
aws-sdk-js.csv,server,async-await,0.0,0.0,0.0,0.0,3,0.0,3.0,11,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
aws-sdk-js.csv,server,callback,0.0,0.0,1.0,0.0,715,0.0,715.0,4919,94.0,79.0,0.0,32.0,0.0,24.0,4.0,0.0,2060,3.0,0.0,0.0,0.0,697
aws-sdk-js.csv,server,event,0.0,0.0,0.0,0.0,69,0.0,57.0,154,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,69
aws-sdk-js.csv,server,promise,0.0,0.0,0.0,0.0,2,0.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2
aws-sdk-js.csv,server,try-catch,0.0,0.0,20.0,0.0,710,84.0,710.0,1297,267.0,180.0,0.0,34.0,0.0,92.0,1.0,0.0,782,0.0,2.0,0.0,0.0,457
axios.csv,server,callback,0.0,1.0,0.0,0.0,26,0.0,26.0,545,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132,0.0,0.0,0.0,0.0,26
axios.csv,server,event,0.0,0.0,0.0,0.0,3,0.0,3.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,3
axios.csv,server,promise,0.0,0.0,0.0,0.0,12,0.0,8.0,24,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,12
axios.csv,server,try-catch,0.0,0.0,0.0,0.0,28,5.0,28.0,56,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,34,2.0,0.0,0.0,0.0,21
babel.csv,client,async-await,0.0,0.0,0.0,0.0,5,0.0,5.0,22,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,12,0.0,0.0,0.0,0.0,5
babel.csv,client,callback,0.0,1.0,0.0,0.0,73,0.0,73.0,423,17.0,3.0,0.0,13.0,0.0,4.0,0.0,0.0,134,2.0,0.0,0.0,0.0,67
babel.csv,client,promise,0.0,0.0,0.0,0.0,3,0.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3
babel.csv,client,try-catch,0.0,0.0,2.0,0.0,59,3.0,59.0,184,5.0,20.0,0.0,13.0,0.0,3.0,0.0,0.0,97,0.0,0.0,0.0,0.0,44
