repo,type,mech,count,lines,strategy,strategy_count
nuxt.js.csv,server,try-catch,4,6,noUsageOfErrorArg,0.0
openlayers.csv,server,try-catch,175,211,noUsageOfErrorArg,13.0
openui5.csv,client,try-catch,2517,18454,noUsageOfErrorArg,959.0
passport.csv,server,try-catch,6,6,noUsageOfErrorArg,0.0
pdf.js.csv,client,try-catch,193,444,noUsageOfErrorArg,48.0
perfect-scrollbar.csv,client,try-catch,2,2,noUsageOfErrorArg,0.0
phaser.csv,client,try-catch,151,236,noUsageOfErrorArg,113.0
plyr.csv,client,try-catch,239,348,noUsageOfErrorArg,111.0
pm2.csv,server,try-catch,213,401,noUsageOfErrorArg,37.0
postcss.csv,server,try-catch,5,17,noUsageOfErrorArg,0.0
pouchdb.csv,server,try-catch,500,1341,noUsageOfErrorArg,194.0
prettier.csv,client,try-catch,53,181,noUsageOfErrorArg,16.0
progressbar.js.csv,client,try-catch,1,0,noUsageOfErrorArg,0.0
protobuf.js.csv,server,try-catch,114,285,noUsageOfErrorArg,22.0
pug.csv,server,try-catch,47,210,noUsageOfErrorArg,11.0
ratchet.csv,client,try-catch,7,7,noUsageOfErrorArg,6.0
raven-js.csv,client,try-catch,270,394,noUsageOfErrorArg,80.0
react-native.csv,server,try-catch,190,493,noUsageOfErrorArg,28.0
remark.csv,client,try-catch,3,24,noUsageOfErrorArg,0.0
request.csv,server,try-catch,8,10,noUsageOfErrorArg,3.0
reveal.js.csv,client,try-catch,28,57,noUsageOfErrorArg,4.0
riot.csv,client,try-catch,46,116,noUsageOfErrorArg,16.0
sails.csv,server,try-catch,457,987,noUsageOfErrorArg,25.0
scrollreveal.csv,client,try-catch,39,47,noUsageOfErrorArg,2.0
sequelize.csv,server,try-catch,20,36,noUsageOfErrorArg,0.0
showdown.csv,server,try-catch,8,11,noUsageOfErrorArg,1.0
simditor.csv,client,try-catch,56,112,noUsageOfErrorArg,0.0
sinon.csv,server,try-catch,11709,10427,noUsageOfErrorArg,2984.0
smooth-scroll.csv,client,try-catch,20,20,noUsageOfErrorArg,20.0
socket.io.csv,server,try-catch,5,4,noUsageOfErrorArg,3.0
sockjs-client.csv,client,try-catch,336,446,noUsageOfErrorArg,93.0
spectron.csv,server,try-catch,6,4,noUsageOfErrorArg,4.0
steal.csv,client,try-catch,1262,2692,noUsageOfErrorArg,258.0
store.js.csv,server,try-catch,7,8,noUsageOfErrorArg,7.0
summernote.csv,client,try-catch,1,0,noUsageOfErrorArg,0.0
superagent.csv,server,try-catch,483,502,noUsageOfErrorArg,4.0
svg.js.csv,client,try-catch,35,69,noUsageOfErrorArg,9.0
svgo.csv,server,try-catch,12,28,noUsageOfErrorArg,2.0
three.js.csv,client,try-catch,516,1680,noUsageOfErrorArg,89.0
tinymce.csv,client,try-catch,2,0,noUsageOfErrorArg,0.0
ui-router.csv,client,try-catch,737,1061,noUsageOfErrorArg,54.0
underscore.csv,client,try-catch,24,28,noUsageOfErrorArg,2.0
validator.js.csv,client,try-catch,6,2,noUsageOfErrorArg,2.0
waterline.csv,server,try-catch,283,1664,noUsageOfErrorArg,0.0
web3.js.csv,client,try-catch,188,280,noUsageOfErrorArg,126.0
webogram.csv,client,try-catch,1749,4209,noUsageOfErrorArg,255.0
webpack.csv,server,try-catch,216,367,noUsageOfErrorArg,21.0
webtorrent.csv,server,try-catch,11,12,noUsageOfErrorArg,5.0
wekan.csv,server,try-catch,44,139,noUsageOfErrorArg,11.0
winston.csv,server,try-catch,20,25,noUsageOfErrorArg,0.0
zeroclipboard.csv,client,try-catch,47,147,noUsageOfErrorArg,30.0
Chart.js.csv,client,try-catch,2,2,consoleLog,0.0
Faker.js.csv,server,try-catch,452,540,consoleLog,5.0
Ghost.csv,server,try-catch,120,388,consoleLog,0.0
JavaScript-Garden.csv,client,try-catch,4,12,consoleLog,0.0
JavaScript-Koans.csv,client,try-catch,52,80,consoleLog,0.0
JavaScript-Load-Image.csv,client,try-catch,171,423,consoleLog,0.0
JavaScript-MD5.csv,server,try-catch,122,295,consoleLog,0.0
MQTT.js.csv,server,try-catch,17,29,consoleLog,0.0
MagicMirror.csv,server,try-catch,13,62,consoleLog,3.0
Modernizr.csv,client,try-catch,258,220,consoleLog,0.0
NodeBB.csv,server,try-catch,205,282,consoleLog,3.0
OS.js.csv,client,try-catch,264,256,consoleLog,0.0
PapaParse.csv,server,try-catch,15,24,consoleLog,0.0
Rocket.Chat.csv,client,try-catch,286,653,consoleLog,28.0
RxJS.csv,server,try-catch,35,78,consoleLog,9.0
Semantic-UI.csv,client,try-catch,71,53,consoleLog,1.0
UglifyJS2.csv,server,try-catch,129,286,consoleLog,45.0
ajenti.csv,client,try-catch,160,150,consoleLog,0.0
angular-starter.csv,client,try-catch,1,1,consoleLog,0.0
angular-translate.csv,client,try-catch,21,9,consoleLog,0.0
apidoc.csv,server,try-catch,33,30,consoleLog,8.0
atom.csv,server,try-catch,141,223,consoleLog,4.0
ava.csv,server,try-catch,55,186,consoleLog,0.0
aws-sdk-js.csv,server,try-catch,710,1297,consoleLog,20.0
axios.csv,server,try-catch,28,56,consoleLog,0.0
babel.csv,client,try-catch,59,184,consoleLog,2.0
backbone.csv,client,try-catch,93,110,consoleLog,0.0
bitcoinjs-lib.csv,server,try-catch,7,1,consoleLog,0.0
bluebird.csv,server,try-catch,276,366,consoleLog,0.0
bootstrap.csv,client,try-catch,45,49,consoleLog,2.0
brackets.csv,client,try-catch,1069,1511,consoleLog,48.0
card.csv,client,try-catch,14,50,consoleLog,0.0
cheerio.csv,server,try-catch,1,0,consoleLog,0.0
closure-compiler.csv,server,try-catch,83,116,consoleLog,0.0
closure-library.csv,client,try-catch,629,1501,consoleLog,0.0
clumsy-bird.csv,client,try-catch,34,30,consoleLog,0.0
co.csv,server,try-catch,45,48,consoleLog,0.0
create-react-app.csv,client,try-catch,19,32,consoleLog,3.0
democracyos.csv,client,try-catch,6,9,consoleLog,0.0
docsify.csv,server,try-catch,22,47,consoleLog,0.0
dragula.csv,client,try-catch,4,0,consoleLog,0.0
dropzone.csv,client,try-catch,23,23,consoleLog,0.0
echarts.csv,client,try-catch,145,193,consoleLog,2.0
electron.csv,server,try-catch,97,113,consoleLog,1.0
engine.csv,client,try-catch,10,26,consoleLog,0.0
eslint-plugin-react.csv,client,try-catch,4,4,consoleLog,0.0
eslint.csv,server,try-catch,178,442,consoleLog,0.0
express.csv,server,try-catch,17,23,consoleLog,0.0
fetch.csv,client,try-catch,3,3,consoleLog,0.0
fingerprintjs2.csv,client,try-catch,54,64,consoleLog,0.0
forever.csv,server,try-catch,5,6,consoleLog,0.0
fullPage.js.csv,client,try-catch,1,1,consoleLog,0.0
grunt.csv,server,try-catch,21,39,consoleLog,2.0
gulp.csv,server,try-catch,4,8,consoleLog,0.0
handlebars.js.csv,server,try-catch,24,57,consoleLog,0.0
hapi.csv,server,try-catch,15,32,consoleLog,0.0
hexo.csv,server,try-catch,78,81,consoleLog,0.0
highcharts-ng.csv,client,try-catch,6,0,consoleLog,0.0
history.js.csv,client,try-catch,757,991,consoleLog,0.0
homebridge.csv,server,try-catch,6,20,consoleLog,0.0
hospitalrun-frontend.csv,client,try-catch,1211,1587,consoleLog,3.0
howler.js.csv,client,try-catch,30,22,consoleLog,0.0
http-server.csv,server,try-catch,1,1,consoleLog,0.0
iD.csv,server,try-catch,42,69,consoleLog,0.0
immutable-js.csv,server,try-catch,13,24,consoleLog,0.0
impress.js.csv,client,try-catch,14,50,consoleLog,0.0
intro.js.csv,client,try-catch,52,54,consoleLog,0.0
jQuery-File-Upload.csv,client,try-catch,18,5,consoleLog,0.0
johnny-five.csv,server,try-catch,8,8,consoleLog,0.0
joi.csv,client,try-catch,46,84,consoleLog,0.0
jquery-modal.csv,client,try-catch,4,24,consoleLog,0.0
jsdoc.csv,client,try-catch,44,63,consoleLog,2.0
jsdoc.csv,server,try-catch,44,63,consoleLog,2.0
jsdom.csv,server,try-catch,440,496,consoleLog,0.0
koa.csv,server,try-catch,38,102,consoleLog,0.0
kue.csv,server,try-catch,7,17,consoleLog,0.0
