,Class,stmts,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,throwErrorObject,throwLiteral,throwNull,throwUndefined
76,Web,26,0.0,27.0,0.0,2.0,36,0.0,36.0,5876,2.0,21.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
27,Standalone,27,0.0,14.0,0.0,0.0,15,0.0,15.0,3846,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Web,27,0.0,20.0,0.0,9.0,43,0.0,43.0,9815,1.0,39.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
78,Web,28,0.0,12.0,0.0,3.0,30,0.0,30.0,4293,2.0,24.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0
28,Standalone,28,0.0,6.0,2.0,0.0,9,0.0,9.0,5393,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Web,29,0.0,16.0,0.0,0.0,37,0.0,37.0,5444,1.0,35.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
29,Standalone,29,0.0,1.0,1.0,0.0,7,0.0,7.0,799,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Standalone,30,0.0,6.0,0.0,0.0,7,0.0,7.0,1894,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Web,30,0.0,27.0,0.0,1.0,44,0.0,44.0,5323,0.0,43.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Web,31,0.0,12.0,0.0,3.0,24,0.0,24.0,8033,0.0,21.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0
31,Standalone,31,0.0,2.0,0.0,0.0,5,0.0,5.0,998,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Web,32,0.0,23.0,0.0,2.0,30,0.0,30.0,4019,1.0,28.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Standalone,32,0.0,10.0,0.0,0.0,11,0.0,11.0,10794,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Standalone,33,0.0,6.0,0.0,0.0,14,0.0,14.0,2545,3.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Web,33,0.0,17.0,0.0,1.0,39,0.0,39.0,4016,4.0,32.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
84,Web,34,0.0,17.0,1.0,0.0,22,0.0,22.0,3685,1.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Standalone,34,0.0,5.0,0.0,0.0,5,0.0,5.0,768,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Web,35,0.0,13.0,0.0,1.0,20,0.0,20.0,2458,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Standalone,35,0.0,0.0,1.0,0.0,1,0.0,1.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Web,36,0.0,9.0,0.0,0.0,30,0.0,30.0,3811,1.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
36,Standalone,36,0.0,4.0,0.0,0.0,9,0.0,9.0,839,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Standalone,37,0.0,2.0,2.0,1.0,2,0.0,2.0,2217,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
87,Web,37,0.0,6.0,0.0,0.0,19,0.0,19.0,1696,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Web,38,0.0,16.0,0.0,0.0,26,0.0,26.0,4244,1.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
38,Standalone,38,0.0,6.0,0.0,4.0,6,0.0,6.0,2370,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Web,39,0.0,14.0,0.0,1.0,25,0.0,25.0,3427,0.0,21.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Standalone,39,0.0,0.0,0.0,0.0,4,0.0,4.0,196,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Web,40,0.0,21.0,0.0,0.0,34,0.0,34.0,6405,0.0,32.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
91,Web,41,0.0,9.0,0.0,0.0,15,0.0,15.0,2484,1.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Standalone,41,0.0,0.0,0.0,0.0,2,0.0,2.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Web,42,0.0,8.0,0.0,0.0,9,0.0,9.0,4919,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Standalone,42,0.0,0.0,1.0,0.0,1,0.0,1.0,394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Web,43,0.0,12.0,0.0,2.0,15,0.0,15.0,4416,0.0,14.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
94,Web,44,0.0,6.0,0.0,0.0,15,0.0,15.0,2419,1.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Web,45,0.0,16.0,0.0,3.0,21,0.0,21.0,7466,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Web,46,0.0,7.0,0.0,2.0,12,0.0,12.0,4186,1.0,11.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
42,Standalone,46,0.0,1.0,0.0,1.0,1,0.0,1.0,444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Web,47,0.0,5.0,0.0,0.0,12,0.0,12.0,3439,1.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
98,Web,48,0.0,4.0,0.0,1.0,7,0.0,7.0,2410,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Standalone,48,0.0,0.0,0.0,0.0,1,0.0,1.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Web,49,0.0,10.0,0.0,0.0,11,0.0,11.0,4423,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
100,Web,50,0.0,2.0,0.0,1.0,2,0.0,2.0,431,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Web,51,0.0,6.0,0.0,0.0,10,0.0,10.0,2902,1.0,9.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
102,Web,52,0.0,8.0,0.0,2.0,12,0.0,12.0,4111,0.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0
103,Web,53,0.0,5.0,0.0,0.0,10,0.0,10.0,1392,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Web,54,0.0,4.0,0.0,1.0,10,0.0,10.0,2202,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Web,55,0.0,6.0,0.0,0.0,8,0.0,8.0,1187,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Standalone,55,0.0,0.0,0.0,0.0,4,0.0,4.0,244,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Standalone,56,0.0,0.0,0.0,0.0,1,0.0,1.0,210,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Web,56,0.0,19.0,0.0,0.0,23,0.0,23.0,4126,1.0,22.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Web,57,0.0,5.0,0.0,0.0,6,0.0,6.0,3510,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Web,58,0.0,0.0,0.0,0.0,1,0.0,1.0,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Web,59,0.0,2.0,0.0,0.0,4,0.0,4.0,1011,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,Web,60,0.0,5.0,0.0,1.0,8,0.0,8.0,2306,1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
46,Standalone,61,0.0,0.0,0.0,0.0,1,0.0,1.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Web,61,0.0,6.0,0.0,1.0,7,0.0,7.0,1627,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Web,62,0.0,3.0,0.0,0.0,6,0.0,6.0,1597,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,Web,63,0.0,2.0,0.0,1.0,4,0.0,4.0,2635,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Standalone,64,0.0,1.0,0.0,0.0,1,0.0,1.0,351,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Web,64,0.0,3.0,0.0,0.0,6,0.0,6.0,2498,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Web,65,0.0,4.0,0.0,0.0,4,0.0,4.0,1436,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Standalone,65,0.0,2.0,0.0,0.0,2,0.0,2.0,332,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Web,66,0.0,3.0,0.0,1.0,4,0.0,4.0,3545,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
117,Web,67,0.0,2.0,0.0,1.0,6,0.0,6.0,1365,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Web,68,0.0,3.0,0.0,0.0,12,0.0,12.0,1508,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Standalone,69,0.0,1.0,0.0,1.0,1,0.0,1.0,361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Web,69,0.0,3.0,0.0,1.0,5,0.0,5.0,2694,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Web,70,0.0,0.0,0.0,0.0,2,0.0,2.0,851,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
121,Web,71,0.0,3.0,0.0,0.0,4,0.0,4.0,1571,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,Web,72,0.0,0.0,0.0,0.0,3,0.0,3.0,312,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Web,73,0.0,2.0,0.0,0.0,3,0.0,3.0,1825,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
124,Web,74,0.0,1.0,0.0,0.0,2,0.0,2.0,279,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Web,75,0.0,1.0,0.0,0.0,4,0.0,4.0,619,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Web,76,0.0,1.0,0.0,0.0,3,0.0,3.0,1451,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
127,Web,77,0.0,2.0,0.0,0.0,4,0.0,4.0,688,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Web,78,0.0,0.0,0.0,0.0,2,0.0,2.0,161,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Web,79,0.0,3.0,0.0,0.0,5,0.0,5.0,2000,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
130,Web,80,0.0,2.0,0.0,1.0,2,0.0,2.0,1976,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
131,Web,81,0.0,1.0,0.0,0.0,1,0.0,1.0,439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Web,82,0.0,3.0,0.0,1.0,7,0.0,7.0,5776,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
