mech,lines,stmts,has_error_arguments,empty,noUsageOfErrorArg,consoleLog,reassigningError,alert,throwLiteral,throwUndefined,throwNull,throwErrorObject,rethrow,returnLiteral,returnUndefined,returnNull,returnErrorObject,rereturn,continue,break,file,repo,count,type
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,45,29,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/vendor/ogv.js/ogv-decoder-video-vp9.js,webogram.csv,1,client
callback,8,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,7,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/hospitalrun-d598b2e53c5a773d81dea7aa5b68b2b9.js,hospitalrun-frontend.csv,1,client
callback,13,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/echarts/dist/echarts-en.simple.js,echarts.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/webogram/app/js/lib/ng_utils.js,webogram.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,23,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/closure-library/closure/goog/promise/promise.js,closure-library.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/closure-library/closure/goog/testing/events/events_test.js,closure-library.csv,1,client
callback,13,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/steal/steal.js,steal.csv,1,client
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/meteor/packages/mongo/allow_tests.js,meteor.csv,1,client
callback,13,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/steal/test/steal-with-promises.js,steal.csv,1,client
callback,7,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/closure-library/closure/goog/ui/attachablemenu.js,closure-library.csv,1,client
callback,11,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/test/topics.js,NodeBB.csv,1,server
callback,2,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/lib/internal/process/stdio.js,node.csv,1,server
callback,188,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/pouchdb/tests/integration/deps/pouchdb-3.2.0-postfixed.js,pouchdb.csv,1,server
callback,6,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/test/plugins.js,NodeBB.csv,1,server
callback,10,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-mongodb-native/docs/reference/themes/mongodb/static/js/navbar.js,node-mongodb-native.csv,1,server
callback,14,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-mongodb-native/test/functional/gridfs_tests.js,node-mongodb-native.csv,1,server
callback,13,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/types.document.test.js,mongoose.csv,1,server
callback,14,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/model.populate.test.js,mongoose.csv,1,server
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/src/database/redis/sorted/add.js,NodeBB.csv,1,server
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/pouchdb/tests/integration/test.attachments.js,pouchdb.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/model.findOneAndUpdate.test.js,mongoose.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/test/groups.js,NodeBB.csv,1,server
callback,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/v8/test/mjsunit/asm/embenchen/zlib.js,node.csv,1,server
callback,8,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/loopback/test/user.test.js,loopback.csv,1,server
callback,7,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-mongodb-native/test/functional/url_parser_tests.js,node-mongodb-native.csv,1,server
callback,4,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/materialize/dist/js/materialize.js,materialize.csv,1,server
callback,7,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/MQTT.js/lib/client.js,MQTT.js.csv,1,server
callback,8,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-postgres/test/integration/client/api-tests.js,node-postgres.csv,1,server
callback,22,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/src/database/mongo/list.js,NodeBB.csv,1,server
callback,10,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/npm/test/need-npm5-update/outdated-notarget.js,node.csv,1,server
callback,5,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/npm/test/tap/builtin-config.js,node.csv,1,server
callback,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/pouchdb/tests/integration/browser.migration.js,pouchdb.csv,1,server
callback,8,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/materialize/dist/js/materialize.js,materialize.csv,1,server
callback,4,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/UglifyJS2/test/mocha/cli.js,UglifyJS2.csv,1,server
callback,10,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/src/database/postgres/sorted.js,NodeBB.csv,1,server
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-mongodb-native/test/functional/change_stream_tests.js,node-mongodb-native.csv,1,server
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/aws-sdk-js/dist/aws-sdk-core-react-native.js,aws-sdk-js.csv,1,server
callback,9,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-inspector/front-end/sdk/RemoteObject.js,node-inspector.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mysql/test/unit/connection/test-auth-no-password.js,mysql.csv,1,server
callback,6,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/model.findOneAndDelete.test.js,mongoose.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/model.query.casting.test.js,mongoose.csv,1,server
callback,12,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/npm/test/need-npm5-update/need-outdated/update-symlink.js,node.csv,1,server
callback,13,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/MagicMirror/clientonly/index.js,MagicMirror.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/test/internet/test-dns-any.js,node.csv,1,server
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/bluebird/benchmark/madeup-parallel/promises-calvinmetcalf-lie.js,bluebird.csv,1,server
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/pouchdb/tests/integration/deps/pouchdb-3.6.0-postfixed.js,pouchdb.csv,1,server
callback,7,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/nedb/browser-version/test/async.js,nedb.csv,1,server
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/v8/test/inspector/protocol-test.js,node.csv,1,server
callback,12,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/pouchdb/tests/integration/browser.migration.js,pouchdb.csv,1,server
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/ava/test/integration/assorted.js,ava.csv,1,server
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/test/posts.js,NodeBB.csv,1,server
callback,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mysql/test/unit/pool-cluster/test-restore-events.js,mysql.csv,1,server
callback,4,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/NodeBB/test/topics.js,NodeBB.csv,1,server
callback,8,1,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/atom/script/lib/package-application.js,atom.csv,1,server
callback,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/sinon/docs/releases/sinon-4.1.1.js,sinon.csv,1,server
callback,18,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/test/model.test.js,mongoose.csv,1,server
callback,7,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node/deps/npm/test/broken-under-nyc-and-travis/whoami.js,node.csv,1,server
callback,5,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/node-inspector/lib/DebuggerAgent.js,node-inspector.csv,1,server
callback,8,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/mongoose/lib/plugins/removeSubdocs.js,mongoose.csv,1,server
callback,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/sinon/docs/releases/sinon-4.0.1.js,sinon.csv,1,server
