,mech,count,type,repo,perc_per_repo
0,async-await,3,server,react-native.csv,0.009345794392523364
1,callback,119,server,react-native.csv,0.3707165109034268
2,event,5,server,react-native.csv,0.01557632398753894
3,promise,4,server,react-native.csv,0.012461059190031152
4,try-catch,190,server,react-native.csv,0.5919003115264797
0,callback,7,server,immutable-js.csv,0.3333333333333333
1,promise,1,server,immutable-js.csv,0.047619047619047616
2,try-catch,13,server,immutable-js.csv,0.6190476190476191
0,callback,96,server,node-serialport.csv,0.40336134453781514
1,event,12,server,node-serialport.csv,0.05042016806722689
2,promise,12,server,node-serialport.csv,0.05042016806722689
3,try-catch,118,server,node-serialport.csv,0.4957983193277311
0,callback,95,server,passport.csv,0.9405940594059405
1,try-catch,6,server,passport.csv,0.0594059405940594
0,callback,873,server,nedb.csv,0.7281067556296914
1,event,5,server,nedb.csv,0.004170141784820684
2,try-catch,321,server,nedb.csv,0.2677231025854879
0,callback,413,server,Ghost.csv,0.48991696322657174
1,event,4,server,Ghost.csv,0.004744958481613286
2,promise,306,server,Ghost.csv,0.36298932384341637
3,try-catch,120,server,Ghost.csv,0.1423487544483986
0,callback,72,server,kue.csv,0.8780487804878049
1,event,3,server,kue.csv,0.036585365853658534
2,try-catch,7,server,kue.csv,0.08536585365853659
0,callback,98,server,session.csv,0.9702970297029703
1,event,3,server,session.csv,0.0297029702970297
0,callback,3,server,docco.csv,1.0
0,callback,21,server,svgo.csv,0.6176470588235294
1,promise,1,server,svgo.csv,0.029411764705882353
2,try-catch,12,server,svgo.csv,0.35294117647058826
0,callback,23,server,expressjs.com.csv,1.0
0,callback,68,server,protobuf.js.csv,0.3469387755102041
1,event,5,server,protobuf.js.csv,0.025510204081632654
2,promise,9,server,protobuf.js.csv,0.04591836734693878
3,try-catch,114,server,protobuf.js.csv,0.5816326530612245
0,callback,227,server,drywall.csv,0.9956140350877193
1,event,1,server,drywall.csv,0.0043859649122807015
0,callback,3122,server,NodeBB.csv,0.9341711549970078
1,event,11,server,NodeBB.csv,0.003291442250149611
2,promise,4,server,NodeBB.csv,0.0011968880909634949
3,try-catch,205,server,NodeBB.csv,0.06134051466187911
0,callback,100,server,ava.csv,0.5988023952095808
1,event,4,server,ava.csv,0.023952095808383235
2,promise,8,server,ava.csv,0.04790419161676647
3,try-catch,55,server,ava.csv,0.32934131736526945
0,callback,28,server,reactGo.csv,0.6222222222222222
1,promise,17,server,reactGo.csv,0.37777777777777777
0,callback,4,server,javascripting.csv,1.0
0,callback,146,server,express.csv,0.8957055214723927
1,try-catch,17,server,express.csv,0.10429447852760736
0,callback,73,server,sequelize.csv,0.3686868686868687
1,event,3,server,sequelize.csv,0.015151515151515152
2,promise,102,server,sequelize.csv,0.5151515151515151
3,try-catch,20,server,sequelize.csv,0.10101010101010101
0,callback,11,server,pug.csv,0.1896551724137931
1,try-catch,47,server,pug.csv,0.8103448275862069
0,callback,4,server,mobx.csv,0.6666666666666666
1,promise,2,server,mobx.csv,0.3333333333333333
0,callback,50,server,socket.io.csv,0.704225352112676
1,event,16,server,socket.io.csv,0.22535211267605634
2,try-catch,5,server,socket.io.csv,0.07042253521126761
0,callback,55,server,JavaScript-MD5.csv,0.30726256983240224
1,event,2,server,JavaScript-MD5.csv,0.0111731843575419
2,try-catch,122,server,JavaScript-MD5.csv,0.6815642458100558
0,callback,442,server,node-inspector.csv,0.8355387523629489
