,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
88,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatReturnsErrorObject,,,,,,,,,,
89,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatRereturns,,,,,0.7218214168033636,,,-0.35991016799867165,,
90,skewtest is not valid with less than 8 samples; 7 samples were given.,,,,,,,,tryCatchNumberOfCatchesContinues,,,,,,,,,,
91,skewtest is not valid with less than 8 samples; 7 samples were given.,,,,,,,,tryCatchNumberOfCatchesThatContinues,,,,,,,,,,
92,,mannwhitneyu,,,,,,,tryCatchNumberOfCatchesBreaks,,,,,0.06731655914858972,,,20.0,,
93,,mannwhitneyu,,,,,,,tryCatchNumberOfCatchesThatBreaks,,,,,0.11395270436383576,,,23.0,,
94,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,tryCatchNumberOfCatchesBreaksOnly,,,,,,,,,,
95,,ttest_ind,,,,,,,tryCatchNumberOfFinallies,,,,,0.7837893802715727,,,0.27551098948612374,,
96,,ttest_ind,,,,,,,tryCatchNumberOfFinalliesLines,,,,,0.6230416831128162,,,0.49387047477582197,,
97,,ttest_ind,,,,,,,promiseNumberOfPromises,,,,,0.7470048903462729,,,0.32398174614089004,,
98,,ttest_ind,,,,,,,promiseNumberOfResolves,,,,,0.509171975346057,,,0.6619406914144272,,
99,,ttest_ind,4.585119538813387,7.289086032205924,0.08366447722217808,0.040839306081847805,0.012330252149940083,0.005060263873115253,promiseNumberOfRejects,0.00016800095827746602,0.00018231833072253483,33.0,49.0,0.019630213493053123,2.1087125359684924,2.694565409509347,2.3812515820144884,0.0003526839644981013,7.121599358811325e-05
100,,ttest_ind,,,,,,,promiseNumberOfPromiseThens,,,,,0.5247363623313965,,,-0.6381745895041635,,
101,,ttest_ind,,,,,,,promiseNumberOfPromiseThenFulfilledLines,,,,,0.5734703093911089,,,-0.5647521031276607,,
102,,ttest_ind,,,,,,,promiseNumberOfPromiseThenRejectedLines,,,,,0.19595265490395422,,,1.3128057379966072,,
103,,ttest_ind,,,,,,,promiseNumberOfPromiseCatches,,,,,0.8243317732414808,,,-0.22269721542886284,,
104,,ttest_ind,,,,,,,promiseNumberOfPromiseCatchesLines,,,,,0.9124683855711396,,,0.11029248857412878,,
105,skewtest is not valid with less than 8 samples; 6 samples were given.,,,,,,,,promiseNumberOfEmptyFunctionsOnPromiseCatches,,,,,,,,,,
106,skewtest is not valid with less than 8 samples; 6 samples were given.,,,,,,,,promiseNumberOfFunctionsOnCatchesNoUsageOfErrorArgument,,,,,,,,,,
107,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesWithNoArg,,,,,,,,,,
108,,ttest_ind,2.2975658311745732,5.033865781271567,0.011928068037700088,0.004375639937340836,0.0021560122978941474,0.0007976426969110899,promiseNumberOfCatchesFunctionWithNoArg,0.00016800095827746602,0.00018231833072253483,18.0,24.0,0.08212565412962032,1.9188941180082801,2.2683716952648094,1.7833073362600875,1.2681851968272292e-05,1.0053285529218373e-06
109,skewtest is not valid with less than 8 samples; 7 samples were given.,,,,,,,,promiseNumberOfCatchesWithUniqueConsole,,,,,,,,,,
110,,ttest_ind,,,,,,,promiseNumberOfCatchesWithUniqueStatement,,,,,0.28584638931026374,,,1.075996605793248,,
111,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesAlertOnly,,,,,,,,,,
112,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,promiseNumberOfErrorReassigning,,,,,,,,,,
113,,mannwhitneyu,,,,,,,promiseNumberOfCatchesThrows,,,,,0.3366209286370238,,,79.0,,
114,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesThrowsLiteral,,,,,,,,,,
115,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,promiseNumberOfCatchesThrowsErrorObject,,,,,,,,,,
116,,mannwhitneyu,,,,,,,promiseNumberOfCatchesThatThrows,,,,,0.3735261823331853,,,81.0,,
117,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsLiteral,,,,,,,,,,
118,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsLiteralOnly,,,,,,,,,,
119,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsUndefined,,,,,,,,,,
120,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsUndefinedOnly,,,,,,,,,,
121,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsNull,,,,,,,,,,
122,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsNullOnly,,,,,,,,,,
123,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,promiseNumberOfCatchesThatThrowsErrorObject,,,,,,,,,,
124,,mannwhitneyu,,,,,,,promiseNumberOfCatchesRethrows,,,,,0.3790719708872595,,,51.0,,
125,,mannwhitneyu,,,,,,,promiseNumberOfCatchesThatRethrows,,,,,0.45911291186664555,,,54.0,,
