"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,9,11
0,3,0,1,39,55
0,0,0,0,27,32
0,0,0,0,22,25
0,1,0,0,185,213
0,0,0,0,32,42
0,0,0,0,34,44
0,0,0,0,4,6
0,0,0,0,383,467
0,0,0,0,8,9
0,0,0,0,95,113
0,0,0,0,68,86
0,0,0,0,6,7
0,0,0,0,320,370
0,1,0,0,120,172
0,2,0,2,66,71
0,0,0,0,23,28
0,0,0,0,2,3
0,1,0,0,80,86
0,0,0,0,45,52
0,0,0,0,124,180
0,0,0,0,31,34
0,0,0,0,163,175
0,0,0,0,12,13
0,0,0,0,225,308
0,0,0,0,219,297
0,0,0,0,5,6
0,0,0,0,4,4
0,0,0,0,50,50
0,0,0,0,58,99
0,0,0,0,10,13
0,0,0,0,106,160
0,0,0,0,286,372
0,0,0,0,28,34
0,0,0,0,53,64
0,0,0,0,102,193
0,0,0,0,5,6
0,0,0,0,241,282
0,0,0,0,83,88
0,0,0,0,48,61
0,0,0,0,5,10
0,0,0,0,90,100
0,0,0,0,9,10
0,0,0,0,9,13
0,0,0,0,10,15
0,0,0,0,2,5
0,0,0,0,11,18
0,0,0,0,47,59
0,0,0,0,19,22
0,0,0,0,79,122
0,0,0,0,19,22
0,0,0,0,39,64
0,0,0,0,39,66
0,0,0,0,61,223
0,0,0,0,50,101
0,0,0,0,25,29
0,0,0,0,4,4
0,0,0,0,16,20
0,0,0,0,19,24
0,0,0,0,13,16
0,0,0,0,58,78
0,0,0,0,60,78
