"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,46,61
0,0,0,0,61,78
0,0,0,0,52,67
0,0,0,0,35,46
0,0,0,0,59,76
0,3,0,2,95,119
0,3,0,2,95,119
0,2,0,1,81,104
0,6,0,2,94,117
0,2,0,0,133,176
0,0,0,0,70,97
0,0,0,0,40,44
0,3,0,0,125,154
0,0,0,0,27,30
0,0,0,0,31,40
0,0,0,0,26,29
0,1,0,0,114,134
0,0,0,0,100,118
0,0,0,0,56,68
0,0,0,0,25,27
0,0,0,0,28,35
0,0,0,0,72,85
0,1,0,0,50,70
0,0,0,0,182,252
0,0,0,0,112,174
0,1,0,0,106,150
0,0,0,0,77,107
0,0,0,0,29,33
0,0,0,0,34,53
0,0,0,0,67,95
0,0,0,0,72,95
0,0,0,0,81,111
0,0,0,0,176,255
0,0,0,0,23,36
0,0,0,0,269,390
0,1,0,0,10,13
0,2,0,0,17,19
0,2,0,0,21,25
0,2,0,0,11,12
0,2,0,0,17,19
0,2,0,0,20,25
1,1,0,0,267,380
2,2,0,0,158,275
0,0,0,0,557,923
0,1,0,0,155,201
0,0,0,0,49,59
0,0,0,0,6,6
0,0,0,0,12,13
0,0,0,0,35,39
0,0,0,0,102,132
0,0,0,0,78,99
0,1,0,0,175,240
1,0,0,0,548,790
0,0,0,0,57,66
0,7,0,5,196,303
0,0,0,0,557,923
0,1,0,0,155,201
0,0,0,0,49,59
0,0,0,0,6,6
0,0,0,0,12,13
0,0,0,0,35,39
0,0,0,0,14,20
1,0,0,0,349,486
0,0,0,0,15,21
0,8,0,0,216,262
0,1,0,0,90,118
0,2,0,0,254,330
0,0,0,0,8,16
0,0,0,0,63,68
0,0,0,0,98,114
0,0,0,0,101,121
0,2,0,0,38,49
0,0,0,0,88,138
0,0,0,0,40,54
0,0,0,0,7,7
0,0,0,0,21,23
0,0,0,0,160,190
